name,city,postal_code,street,building_number,orientation_number,ruian_code
Horní Pěna,Horní Pěna,37831,,96,0,2133768.0
Číměř,Číměř,37832,,12,0,14692597.0
Nová Bystřice,Nová Bystřice,37833,Hradecká,269,0,14731452.0
Jarošov nad Nežárkou,Jarošov nad Nežárkou,37841,,84,0,14717280.0
Nová Včelnice,Nová Včelnice,37842,Na Hliněnce,457,0,14741385.0
Roseč,Roseč,37846,,84,0,17663075.0
Blažejov,Blažejov,37852,,38,0,2135833.0
Strmilov,Strmilov,37853,Náměstí,267,0,2146932.0
Studená,Studená,37856,náměstí Sv. J. Nepomuckého,49,0,14782421.0
Člunek,Člunek,37861,,21,0,17303117.0
Kunžak,Kunžak,37862,náměstí Komenského,235,0,2216833.0
Staré Hobzí,Staré Hobzí,37871,,116,0,14778092.0
Písečné,Písečné,37872,,145,0,14754754.0
Dešná,Dešná,37873,,69,0,14696487.0
Slavonice,Slavonice,37881,Horní náměstí,524,0,14771403.0
Staré Město pod Landštejnem,Staré Město pod Landštejnem,37882,,19,0,2226707.0
Český Rudolec,Český Rudolec,37883,,123,0,2168758.0
Budíškovice,Budíškovice,37891,,103,0,14681196.0
Budeč,Budeč,37892,,79,0,14680092.0
Třeboň,Třeboň,37901,Seifertova,588,0,14837617.0
Dačice,Dačice,38001,Göthova,71,0,14812916.0
Český Krumlov 1,Český Krumlov,38101,Latrán,193,0,25175939.0
Český Krumlov 2,Český Krumlov,38102,třída Míru,1,0,8673969.0
Dolní Třebonín,Dolní Třebonín,38201,,6,0,12948641.0
Zlatá Koruna,Zlatá Koruna,38202,,5,0,8758255.0
Křemže,Křemže,38203,Náměstí,14,0,8705046.0
Brloh,Brloh,38206,,23,0,16529855.0
Chvalšiny,Chvalšiny,38208,,38,0,16538714.0
Větřní,Větřní,38211,Šumavská,1,0,8747385.0
Světlík,Světlík,38216,,27,0,8739251.0
